0,1,Year,Language,Rank[a],Title,Production company,Distributor,Worldwide gross,Ref.,Opening,Opening.1,Director,Cast,Studio (production house)
,,2025,hindi,,Jolly LLB 3,,,,[121],S E P,19.0,Subhash Kapoor,Akshay KumarArshad WarsiHuma QureshiAmrita RaoSaurabh ShuklaGajraj Rao,"Star Studio18, Kangra Talkies"
,,2025,hindi,,Nishaanchi,,,,[122],S E P,19.0,Anurag Kashyap,Aaishvary ThackerayVedika PintoMonika PanwarMohammed Zeeshan Ayyub,"Amazon MGM Studios, JAR Pictures, Flip Films"
,,2025,hindi,,Ajey: The Untold Story of a Yogi,,,,[123],S E P,19.0,Ravindra Gautam,Anant JoshiParesh RawalDinesh Lal Yadav,Samrat Cinematics
,,2025,hindi,,Homebound,,,,[124],S E P,26.0,Neeraj Ghaywan,Ishaan KhatterVishal JethwaJanhvi Kapoor,Dharma Productions
,,2025,hindi,,Tu Meri Poori Kahani,,,,[125],S E P,26.0,Suhrita Das,Arhaan PateelShammi DuhanHirranya Ojha,Indira Entertainment
,,2025,hindi,,Sunny Sanskari Ki Tulsi Kumari,,,,[126],O C T,2.0,Shashank Khaitan,Varun DhawanJanhvi KapoorSanya MalhotraRohit Saraf,"Dharma Productions, Mentor Disciple Entertainment"
,,2025,hindi,,Lord Curzon Ki Haveli,,,,[127],O C T,10.0,Anshuman Jha,Arjun MathurRasika DugalTanmay DhananiaZoha Rahman,"Golden Ratio Films, First Ray Films, Jetty Productions"
,,2025,hindi,,Controll,,,,[128],O C T,10.0,Safdar Abbas,Thakur Anoop SinghRohit RoyPriya Anand,"Pen Studios, Yashi Studios"
,,2025,hindi,,Bhagwat: Chapter One – Raakshas,,,,[129],O C T,17.0,Akshay Shere,Arshad WarsiJitendra KumarAyesha Kaduskar,"Jio Studios, Baweja Studios, Dog ‘n’ Bone Pictures. ZEE5"
,,2025,hindi,,Greater Kalesh,,,,[130],O C T,17.0,Aditya Chandiok,Ahsaas ChannaSupriya Shukla,"Terrible Tinny Tales, Netflix"
,,2025,hindi,,WingMan (The Universal Irony of Love),,,,[131],O C T,17.0,Anuj Gulati,Shashank AroraTrimala AdhikariAuritra Ghosh,Lionsgate Play
,,2025,hindi,,Thamma,,,,[132],O C T,21.0,Aditya Sarpotdar,Ayushmann KhurranaRashmika MandannaNawazuddin SiddiquiParesh Rawal,Maddock Films
,,2025,hindi,,Ek Deewane Ki Deewaniyat,,,,[133],O C T,21.0,Milap Zaveri,Harshvardhan RaneSonam Bajwa,"Desi Movies Factory, Play DMF"
,,2025,hindi,,The Taj Story,,,,[134],O C T,31.0,Tushar Amrish Goel,Paresh RawalZakir HussainAmruta KhanvilkarSneha WaghNamit Das,Swarnim Global Services
,,2025,hindi,,Single Salma,,,,[135],O C T,31.0,Nachiket Samant,Huma QureshiSunny SinghShreyas Talpade,"Star Studio18, Elemen3 Entertainment"
,,2025,hindi,,Haq,,,,[136],N O V,7.0,Suparn Verma,Emraan HashmiYami Gautam,"Junglee Pictures, Insomnia Films, Baweja Studios"
,,2025,hindi,,Jatadhara[β],,,,[137],N O V,7.0,Venkat KalyanAbhishek Jaiswal,Sudheer BabuSonakshi SinhaDivya Khosla Kumar,"Zee Studios, Ess Kay Gee Entertainment, Sudheer Babu Productions"
,,2025,hindi,,Jassi Weds Jassi,,,,[138],N O V,7.0,Paran Bawa,Harshh Vardhan Singh DeoRehmat RattanRanvir ShoreySikandar KherManu Rishi Chadha,Divinity Studio
,,2025,hindi,,Baramulla,,,,[139],N O V,7.0,Aditya Suhas Jambhale,Manav KaulBhasha Sumbli,"Jio Studios, B62 Studios, Netflix"
,,2025,hindi,,De De Pyaar De 2,,,,[140],N O V,14.0,Anshul Sharma,Ajay DevgnR. MadhavanRakul Preet Singh,"T-Series Films, Luv Films"
,,2025,hindi,,Agra,,,,[141],N O V,14.0,Kanu Behl,Mohit AgarwalPriyanka BoseRuhani SharmaRahul Roy,"Saregama, UFO Moviez, O28 Films"
,,2025,hindi,,2020 Delhi,,,,[142],N O V,14.0,Devendra Malviya,Brijendra KalaSamar Jai SinghSiddharth Bharadwaj,Midas Touch Films
,,2025,hindi,,Kaal Trighori,,,,[143],N O V,14.0,Nitin Vaidya,Arbaaz KhanRituparna SenguptaMahesh ManjrekarAditya SrivastavaMugdha GodseRajesh Sharma,"Pen Studios, Navin Productions"
,,2025,hindi,,Nishaanchi 2,,,,[144],N O V,14.0,Anurag Kashyap,Aaishvary ThackerayVedika PintoMonika PanwarMohammed Zeeshan Ayyub,"Amazon MGM Studios, JAR Pictures, Flip Films, Amazon Prime Video"
